filename,e0,n0,u0,h0,p0,r0,vang,hang,z,e1,n1,u1,h1,p1,r1,intr_x,intr_y,loc,ac,clouds,local_time_sec
0, -2784.2847618970636, 3023.7386872962543, 980.4473138916678, 53.51190358253168, -6.560322105324696, 10.165966678325029, 5.0542140324168905, 9.728451981388687, 265.33411723041587, -2546.2338204135517, 3140.000507485487, 965.7119078387582, 340.11470806059305, 6.226831464101197, -10.569312753208798, 1906.9546061501082, 726.5975202693778, Palo Alto, Cessna Skyhawk, 0, 50421.59414025956
1, -797.2884728956578, 2470.3867217994957, -26.990822777442645, 341.6300258916263, -1.4756117095303152, -11.094239405000286, 14.714600874547742, -2.9030643811346835, 134.63756087048904, -850.9113754585838, 2590.448707863015, 1.9397254435098432, 27.52437195822488, -0.017854100394754446, -0.2756514825345123, 1355.7345742329317, 296.16075140938915, Palo Alto, Cessna Skyhawk, 0, 44912.920373048146
2, -3722.8892053499308, -2353.379526604863, -489.3700116524, 341.79744677032477, 3.377670669348754, 4.587979974732112, -15.595920974987303, -14.884542701009662, 223.29750846130088, -3845.6029303101723, -2171.865671791681, -532.4494673391428, 143.3712861703587, -8.66125719035561, 28.12713190300043, 804.0393645459161, 1694.7880615836525, Palo Alto, Cessna Skyhawk, 0, 44285.060125344404
3, -1208.5593457948175, -2710.7752300205834, 374.6923861443038, 295.4588499946696, -7.404226347108937, 8.989142059315101, 3.2424764835582778, 5.287992125468737, 501.93618671214216, -1636.2534138423885, -2451.7152648994715, 331.0385872317866, 321.08876908413964, 2.4989900990648835, -10.570684449250598, 1715.2398027689119, 814.5535593691557, Palo Alto, Cessna Skyhawk, 0, 56169.69975458813
4, -2234.825911326842, -2633.8921413640514, -637.4640606195342, 69.45894576052797, -0.6187916925664528, 0.015165160648784762, 19.373300926998425, 18.930288804212992, 160.73109415418594, -2082.719559134335, -2629.444057150423, -585.7112172433549, 204.35537139294132, -2.646824354956541, 4.589906093840354, 2356.0880222167534, 8.098437068789963, Palo Alto, Cessna Skyhawk, 0, 42163.46181367679
5, -2667.4255313912763, 794.8747734318677, 100.98222296020094, 68.56584222961104, -7.704547660856528, 5.904365955028115, -7.2157837516985435, -0.7491748304363846, 584.6251114175788, -2146.9984956116114, 1015.4048458989649, -48.3787775294341, 260.49528776753834, -11.164464339690163, 6.216137916678227, 1436.1198017687548, 1276.33568161218, Palo Alto, Cessna Skyhawk, 0, 44206.60986947948
6, -2083.6586753777165, -1456.8306440973288, -148.97810835414543, 110.59278944093619, -0.3047668601373515, -16.17317330634609, 17.738868350245085, 21.463858860150864, 574.8075534849738, -1656.1105947281635, -1770.8975839705963, 72.30975745621913, 203.36014786004094, -11.323878171534712, 10.163154271199987, 2483.9202596502723, 81.73712961187653, Palo Alto, Cessna Skyhawk, 0, 35521.477999838986
7, -4653.549545450864, 2080.6554950370673, -895.3117913890356, 302.52514465642395, 2.6497030929321226, 23.11149758474457, -2.5598918480063446, 24.79602522969897, 52.41296919883543, -4683.639305738254, 2122.707711020131, -903.8754820069432, 305.4346262605748, 1.4816251504159508, 3.2368133441925684, 2652.9167145322103, 1101.634278141694, Palo Alto, Cessna Skyhawk, 0, 41454.002265299845
8, -4193.157504586332, 1343.3175847681296, 844.2200890536772, 295.10328666096035, -3.350214438144507, 1.0645611175408478, -8.430705834693688, -16.700942521153237, 273.45148645165415, -4458.615174435861, 1381.0352743242265, 790.5049435616731, 98.81699228624377, -1.6087904896772633, -1.0602765014781226, 715.7097305621184, 1357.7700755312408, Palo Alto, Cessna Skyhawk, 0, 49109.17930660426
9, 1035.0883671850333, -2339.51950603282, 643.8201316706713, 175.34146191863144, -2.8446258649245615, 17.829650927801534, -12.008316257038341, 24.737009035723567, 245.73841710578859, 972.6461216855597, -2559.4095618647134, 553.6164789459124, 35.307701740113906, -3.310051987434473, 4.685503265905118, 2641.312895490166, 1558.017775048748, Palo Alto, Cessna Skyhawk, 0, 51373.58157069787
